"행정구역(시군구)별",2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"용인시",1076773,534238,542535,1077701,534842,542859,1077826,534946,542880
"처인구",259445,133193,126252,260398,133761,126637,260877,134045,126832
"기흥구",439922,217098,222824,439953,217184,222769,439791,217094,222697
"수지구",377406,183947,193459,377350,183897,193453,377158,183807,193351
"파주시",470096,238389,231707,471219,238960,232259,472260,239454,232806
"이천시",219224,113538,105686,219591,113745,105846,220904,114471,106433
"안성시",188038,97025,91013,188704,97419,91285,189060,97561,91499
"김포시",481719,241239,240480,482578,241645,240933,483642,242136,241506
"화성시",864687,449184,415503,867819,450855,416964,870361,452263,418098
"화성시동부출장소",0,0,0,0,0,0,0,0,0
"화성시동탄출장소",0,0,0,0,0,0,0,0,0
"광주시",383794,196185,187609,384306,196393,187913,384714,196588,188126
"양주시",234990,119207,115783,235276,119349,115927,235394,119411,115983
"포천시",147317,78102,69215,147425,78138,69287,147597,78200,69397
"여주시",111913,56882,55031,111939,56898,55041,112177,57050,55127
"연천군",43080,22552,20528,43071,22546,20525,43042,22537,20505
"가평군",62206,32080,30126,62344,32125,30219,62364,32146,30218
"양평군",119505,59981,59524,119826,60147,59679,120012,60259,59753
"강원도",1536175,773037,763138,1535491,772893,762598,1535530,772949,762581
"춘천시",282326,139412,142914,282482,139461,143021,282511,139505,143006
"원주시",354536,175863,178673,354768,176009,178759,354978,176089,178889
"강릉시",212890,105527,107363,212681,105487,107194,212784,105550,107234
"동해시",89868,45622,44246,89968,45667,44301,89999,45702,44297
"태백시",42183,21370,20813,41718,21160,20558,41419,21006,20413
"속초시",82302,40771,41531,82241,40750,41491,82254,40772,41482
"삼척시",64355,32532,31823,64188,32475,31713,64073,32380,31693
"홍천군",68681,35370,33311,68597,35339,33258,68619,35342,33277
"횡성군",46510,23861,22649,46589,23910,22679,46614,23927,22687
"영월군",38417,19859,18558,38099,19743,18356,38057,19711,18346
"평창군",41188,21139,20049,41164,21124,20040,41109,21111,19998
"정선군",35990,18737,17253,35991,18743,17248,35952,18715,17237
"철원군",44169,22948,21221,44011,22895,21116,43932,22832,21100
"화천군",24446,13278,11168,24397,13252,11145,24408,13266,11142
"양구군",22114,11701,10413,22094,11679,10415,22027,11620,10407
"인제군",31508,17047,14461,31633,17116,14517,31835,17268,14567
"고성군",26760,13762,12998,26864,13814,13050,26924,13848,13076
"양양군",27932,14238,13694,28006,14269,13737,28035,14305,13730
"충청북도",1596303,809679,786624,1596955,809946,787009,1597503,810225,787278
"청주시",845534,426167,419367,846291,426502,419789,847392,427070,420322
"서원구",193334,96008,97326,193630,96165,97465,193472,96108,97364
"청원구",193465,99338,94127,193672,99453,94219,193665,99484,94181
"상당구",193472,96206,97266,193673,96292,97381,193737,96289,97448
"흥덕구",265263,134615,130648,265316,134592,130724,266518,135189,131329
"충주시",209434,106018,103416,209483,106040,103443,209638,106102,103536
"제천시",132643,66597,66046,132659,66598,66061,132313,66449,65864
"보은군",32211,16246,15965,32180,16236,15944,32096,16188,15908
"옥천군",50341,25378,24963,50320,25358,24962,50282,25348,24934
"영동군",46497,23178,23319,46442,23171,23271,46316,23096,23220
"증평군",36532,19023,17509,36536,19025,17511,36499,19019,17480
"진천군",84437,44228,40209,84623,44376,40247,84746,44459,40287
"괴산군",37567,19330,18237,37442,19256,18186,37337,19187,18150
"음성군",92349,48943,43406,92213,48822,43391,92232,48812,43420
"단양군",28758,14571,14187,28766,14562,14204,28652,14495,14157
"충청남도",2116452,1081275,1035177,2117260,1081854,1035406,2117400,1082113,1035287
"당진시",166333,88408,77925,166491,88477,78014,166754,88637,78117
"천안시",657410,335775,321635,657775,335990,321785,657503,335917,321586
"동남구",256797,130157,126640,256482,130028,126454,256047,129806,126241
"서북구",400613,205618,194995,401293,205962,195331,401456,206111,195345
"공주시",103782,51925,51857,103752,51924,51828,103640,51835,51805
"보령시",99137,50271,48866,99048,50257,48791,98993,50235,48758
"아산시",318699,165503,153196,319225,165823,153402,320340,166425,153915
"서산시",175817,91664,84153,176031,91809,84222,176090,91855,84235
